cabinet_id,phone,cli,fnn,address_info,street_number,street_name,street_type,locality,state,postcode,latitude,longitude,tty,indigenous_site,product_code,payphones_at_site,locator_address,attributes
02625708X2,0262571864,0488129891,PH:0262571864,NEAR MEDICAL CTE,24,BLAMEY,PL,CAMPBELL,ACT,2612,-35.289415,149.154217,,,MPP1W,1,"24 BLAMEY PL NEAR MEDICAL CTE, CAMPBELL","Card Payphone,Incoming Calls"
02625743X2,0262574465,0262574465,PH:0262574465,AINSLIE VILLAGE,23,QUICK,ST,CAMPBELL,ACT,2612,-35.274597,149.148087,,,MPP1,2,"23 QUICK ST AINSLIE VILLAGE, CAMPBELL","Card Payphone,Incoming Calls"
02625759X2,0262571730,0262571730,PH:0262571730,AINSLIE VILLAGE,23,QUICK,ST,CAMPBELL,ACT,2612,-35.274597,149.148087,,,MPP1,2,"23 QUICK ST AINSLIE VILLAGE, CAMPBELL","Card Payphone,Incoming Calls"
02624918X2,0262497419,0448851928,PH:0262497419,O/S TRUMPS ARCADE,142,BUNDA,ST,CANBERRA,ACT,2601,-35.278998,149.133192,,,MPP1,1,"142 BUNDA ST O/S TRUMPS ARCADE, CANBERRA","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02625720X2,,,,JOLIMONT CENTRE,61,NORTHBOURNE,AVE,CANBERRA,ACT,2601,-35.277698000000001,149.128657,,,MPP1,2,,
02625727X2,,,,JOLIMONT CENTRE,61,NORTHBOURNE,AVE,CANBERRA,ACT,2601,-35.277698000000001,149.128657,,,MPP1,2,,
02625739X2,0262574991,0436031832,PH:0262574991,OS CANBERRA CENTRE,222,CITY,WLK,CANBERRA,ACT,2601,-35.28033,149.13253,,,MPP1W,1,"222 CITY WLK OS CANBERRA CENTRE, CANBERRA","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02625745X2,0262574169,0455738940,PH:0262574169,NR CASINO CANBERRA,20,ALLARA,ST,CANBERRA,ACT,2601,-35.282659,149.133672,,,MPP1,1,"20 ALLARA ST NR CASINO CANBERRA, CANBERRA","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02625748X2,0262575599,0436483500,PH:0262575599,OS POST OFFICE,53,ALINGA,ST,CANBERRA,ACT,2601,-35.278117,149.128346,,,MPP1W,1,"53 ALINGA ST OS POST OFFICE, CANBERRA","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02625752X2,,,,JOLIMONT CENTRE,61,NORTHBOURNE,AVE,CANBERRA,ACT,2601,-35.277334000000003,149.128838,,,MPP1,1,,
02625756X2,0262575137,0448612925,PH:0262575137,OS 8-10 HOBART PL,38,MARCUS CLARKE,ST,CANBERRA,ACT,2601,-35.278884,149.126207,,,MPP1,1,"38 MARCUS CLARKE ST OS 8-10 HOBART PL, CANBERRA","Card Payphone,Incoming Calls,WIFI Hotspot,LTE"
02625760X2,0262574168,0436353461,PH:0262574168,EAST ROW,148,CITY,WLK,CANBERRA,ACT,2601,-35.278685,149.13091,,,MPP1W,1,"148 CITY WLK EAST ROW, CANBERRA","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02624906X1,0262497357,0486229291,PH:0262497357,ARRVL LNGE GRND FL,25,TERMINAL,AVE,CANBERRA AIRPORT,ACT,2609,-35.307273,149.19001,TTY,,MPP1,1,"25 TERMINAL AVE ARRVL LNGE GRND FL, CNBRA ARPT CANBERRA AIRPORT","Card Payphone,TTY,Incoming Calls"
02628400X1,0262847016,0448999081,PH:0262847016,LANYON MARKETS,4,SIDNEY NOLAN,ST,CONDER,ACT,2906,-35.45749,149.09186,,,MPP1W,2,"4 SIDNEY NOLAN ST LANYON MARKETS, CONDER","Card Payphone,Incoming Calls"
02629400X1,0262943278,0448542281,PH:0262943278,LANYON MARKETS,4,SIDNEY NOLAN,ST,CONDER,ACT,2906,-35.45749,149.09186,,,MPP1W,2,"4 SIDNEY NOLAN ST LANYON MARKETS, CONDER","Card Payphone,Incoming Calls"
02628105X2,0262814109,0455492613,PH:0262814109,OS POST OFFICE,38,CURTIN,PL,CURTIN,ACT,2605,-35.32549,149.08284,,,MPP1W,1,"38 CURTIN PL OS POST OFFICE, CURTIN","Card Payphone,Incoming Calls,WIFI Hotspot"
02628200X2,0262821321,0427213290,PH:0262821321,DEAKIN S/C,7,DUFF,PL,DEAKIN,ACT,2600,-35.31519,149.107839,,,MPP1W,1,"7 DUFF PL DEAKIN S/C, DEAKIN","Card Payphone,Incoming Calls,WIFI Hotspot"
02625721X2,0262573811,0262573811,PH:0262573811,O/S POST OFFICE,48,DICKSON,PL,DICKSON,ACT,2602,-35.249836,149.139508,,,MPP1,2,"48 DICKSON PL O/S POST OFFICE, DICKSON","Card Payphone,Incoming Calls,WIFI Hotspot"
02625722X2,0262573809,0262573809,PH:0262573809,O/S POST OFFICE,48,DICKSON,PL,DICKSON,ACT,2602,-35.249836,149.139508,,,MPP1,2,"48 DICKSON PL O/S POST OFFICE, DICKSON","Card Payphone,Incoming Calls"
02628816X2,0262882054,0262882054,PH:0262882054,OS HAIRDRESSER,8,DUFFY,PL,DUFFY,ACT,2611,-35.33659,149.03279,,,MPP1,1,"8 DUFFY PL OS HAIRDRESSER, DUFFY DUFFY","Card Payphone,Incoming Calls,WIFI Hotspot"
02625909X2,0262590387,0455523538,PH:0262590387,EVATT SHOPS,13,HEYDON,PL,EVATT,ACT,2617,-35.208902,149.073706,,,MPP1W,1,"13 HEYDON PL EVATT SHOPS, EVATT EVATT","Card Payphone,Incoming Calls,WIFI Hotspot"
02629005X2,0262861594,0427497993,PH:0262861594,OS SHOPS,4,FARRER,PL,FARRER,ACT,2607,-35.375625,149.101848,,,MPP1W,1,"4 FARRER PL OS SHOPS, FARRER","Card Payphone,Incoming Calls,WIFI Hotspot"
02628815X2,0262881321,0437119314,PH:0262881321,OFF KALGOOLIE CRES,14,FISHER,SQ,FISHER,ACT,2611,-35.36201,149.057385,,,MPP1W,1,"14 FISHER SQ OFF KALGOOLIE CRES, FISHER","Card Payphone,Incoming Calls"
02625907X2,0262597981,0418376262,PH:0262597981,FLOREY SHOPPING CE,20,KESTEVEN,ST,FLOREY,ACT,2615,-35.226215,149.054964,,,MPP1W,1,"20 KESTEVEN ST FLOREY SHOPPING CE, FLOREY","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02625904X2,0262596834,0417531376,PH:0262596834,ADJ SHOPPING CTE,4,DALEY,CRS,FRASER,ACT,2615,-35.19289,149.04391,,,MPP1,1,"4 DALEY CRS ADJ SHOPPING CTE, FRASER","Card Payphone,Incoming Calls"
02623920X2,0262391350,0262391350,PH:0262391350,PARAGON MALL,8,GLADSTONE,ST,FYSHWICK,ACT,2609,-35.323458,149.173328,,,MPP1,1,"8 GLADSTONE ST PARAGON MALL, FYSHWICK","Card Payphone,Incoming Calls"
02628103X2,0262813702,0455991219,PH:0262813702,GARRAN S/CENTRE,28,GARRAN,PL,GARRAN,ACT,2605,-35.34282,149.10868,,,MPP1W,1,"28 GARRAN PL GARRAN S/CENTRE, GARRAN","Card Payphone,Incoming Calls,WIFI Hotspot"
02628506X1,0262853324,0262853324,PH:0262853324,MAIN RECEPTION,77,YAMBA,DRV,GARRAN,ACT,2605,-35.345854,149.101371,,,MPP1,2,"BLDG 2 77 YAMBA DRV MAIN RECEPTION, GARRAN","Card Payphone,Incoming Calls"
02628512X1,0262854186,0262854186,PH:0262854186,MAIN RECEPTION,77,YAMBA,DRV,GARRAN,ACT,2605,-35.345854,149.101371,,,MPP1,2,"BLDG 2 77 YAMBA DRV MAIN RECEPTION, GARRAN","Card Payphone,Incoming Calls"
02628520X1,0262852581,0447870317,PH:0262852581,A & E,77,YAMBA,DRV,GARRAN,ACT,2605,-35.345607,149.100096,TTY,,MPP1W,1,"BLDG 12 77 YAMBA DRV A & E, GARRAN","Card Payphone,TTY,Incoming Calls"
02629402X2,0262944436,0436349796,PH:0262944436,GORDON SHOPS,112,LEWIS LUXTON,AVE,GORDON,ACT,2906,-35.450496,149.084012,,,MPP1W,1,"112 LEWIS LUXTON AVE GORDON SHOPS, GORDON","Card Payphone,Incoming Calls"
02629104X2,0262910832,0429892099,PH:0262910832,CRN JEFFERIES ST,18,CASTLETON,CRS,GOWRIE,ACT,2904,-35.41394,149.10969,,,MPP1,1,"18 CASTLETON CRS CRN JEFFERIES ST, GOWRIE","Card Payphone,Incoming Calls"
02629305X2,0262932949,0262932949,PH:0262932949,BUS INTERCHANGE,0,PITMAN,ST,GREENWAY,ACT,2900,-35.414743,149.065668,,,MPP1,1,"0 PITMAN ST BUS INTERCHANGE, GREENWAY","Card Payphone,Incoming Calls"
02629307X2,0262932948,0262932948,PH:0262932948,BUS INTERCHANGE,0,PITMAN,ST,GREENWAY,ACT,2900,-35.414805,149.065714,,,MPP1,1,"0 PITMAN ST BUS INTERCHANGE, GREENWAY","Card Payphone,Incoming Calls"
02629316X1,0262932485,0262932485,PH:0262932485,HYPERDOME,210,ANKETELL,ST,GREENWAY,ACT,2900,-35.416923,149.068144,,,MPP1,1,"210 ANKETELL ST HYPERDOME, GREENWAY","Card Payphone,Incoming Calls"
02629317X1,0262932759,0262932759,PH:0262932759,HYPERDOME,210,ANKETELL,ST,GREENWAY,ACT,2900,-35.4161,149.067344,,,MPP1,1,"210 ANKETELL ST HYPERDOME, GREENWAY","Card Payphone,Incoming Calls"
02625354X1,0262538765,0439666043,PH:0262538765,NR BIG W,33,HIBBERSON,ST,GUNGAHLIN,ACT,2912,-35.185772,149.13375,,,MPP1W,1,"33 HIBBERSON ST NR BIG W, GUNGAHLIN","Card Payphone,Incoming Calls"
02624814X2,0262480254,0417746544,PH:0262480254,,1,HACKETT,PL,HACKETT,ACT,2602,-35.24836,149.16312,,,MPP1W,1,"1 HACKETT PL , HACKETT","Card Payphone,Incoming Calls"
02623002X2,0262302602,0262302602,PH:0262302602,ADJ HALL PO,3,VICTORIA,ST,HALL,ACT,2618,-35.17048,149.07005,,,MPP1,1,"3 VICTORIA ST ADJ HALL PO, HALL HALL","Card Payphone,Incoming Calls"
02625508X2,0262548954,0455628811,PH:0262548954,HAWKER SHOPS,78,HAWKER,PL,HAWKER,ACT,2614,-35.243452,149.043273,,,MPP1W,1,"78 HAWKER PL HAWKER SHOPS, HAWKER","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02625400X2,0262544965,0428742798,PH:0262544965,,1,HIGGINS,PL,HIGGINS,ACT,2615,-35.23108,149.02703,,,MPP1W,1,"1 HIGGINS PL , HIGGINS","Card Payphone,Incoming Calls"
02628806X2,0262883121,0455632784,PH:0262883121,HOLDER PLACE,48,BLACKWOOD,TCE,HOLDER,ACT,2611,-35.33647,149.044407,,,MPP1W,1,"48 BLACKWOOD TCE HOLDER PLACE, HOLDER","Card Payphone,Incoming Calls,WIFI Hotspot"
02625403X2,0262542321,0484603876,PH:0262542321,KIPPAX FAIR S/C,24,HARDWICK,CRS,HOLT,ACT,2615,-35.22289,149.01976,,,MPP1W,2,"24 HARDWICK CRS KIPPAX FAIR S/C, HOLT HOLT","Card Payphone,Incoming Calls"
02625501X2,0262549037,0455446353,PH:0262549037,OS HOLT SHOPS,16,HOLT,PL,HOLT,ACT,2615,-35.224654,149.011643,,,MPP1W,1,"16 HOLT PL OS HOLT SHOPS, HOLT HOLT","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02625502X2,0262783446,0484693336,PH:0262783446,KIPPAX FAIR S/C,24,HARDWICK,CRS,HOLT,ACT,2615,-35.22289,149.01976,,,MPP1W,2,"24 HARDWICK CRS KIPPAX FAIR S/C, HOLT HOLT","Card Payphone,Incoming Calls"
02628203X2,0262823426,0447252588,PH:0262823426,HUGHES S/C,16,HUGHES,PL,HUGHES,ACT,2605,-35.33341,149.09386,,,MPP1W,1,"16 HUGHES PL HUGHES S/C, HUGHES","Card Payphone,Incoming Calls,WIFI Hotspot"
02629001X2,0262861384,0457401746,PH:0262861384,OS CHIROPRACTOR,6,FARR,PL,ISAACS,ACT,2607,-35.3679093,149.1118923,,,MPP1W,1,"6 FARR PL OS CHIROPRACTOR, ISAACS","Card Payphone,Incoming Calls"
02624104X2,0262411632,0427822908,PH:0262411632,KALEEN SHOPS,1,GWYDIR,SQ,KALEEN,ACT,2617,-35.23414,149.10334,,,MPP1W,1,"1 GWYDIR SQ KALEEN SHOPS, KALEEN","Card Payphone,Incoming Calls"
02623139X2,0262317654,0436483515,PH:0262317654,,2,PRIMMER,CRT,KAMBAH,ACT,2902,-35.379896,149.057578,,,MPP1W,1,"2 PRIMMER CRT , KAMBAH","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02625400X1,0262548271,0436307688,PH:0262548271,O/S LATHAM SHOPS,18,WANLISS,ST,LATHAM,ACT,2615,-35.218408,149.032187,,,MPP1W,1,"18 WANLISS ST O/S LATHAM SHOPS, LATHAM","Card Payphone,Incoming Calls"
02625740X2,0262574506,0488629470,PH:0262574506,NR MONTFORD CRES,4,COLVILLE,ST,LYNEHAM,ACT,2602,-35.24024,149.12482,,,MPP1W,1,"4 COLVILLE ST NR MONTFORD CRES, LYNEHAM","Card Payphone,Incoming Calls"
02625755X2,0262575233,0455820932,PH:0262575233,OS LYNEHAM SHOPS,78,WATTLE,ST,LYNEHAM,ACT,2602,-35.25259,149.12469,,,MPP1,1,"78 WATTLE ST OS LYNEHAM SHOPS, LYNEHAM","Card Payphone,Incoming Calls,WIFI Hotspot"
02628201X2,0262824432,0483149795,PH:0262824432,NEAR LYONS SHOPS,7,LYONS,PL,LYONS,ACT,2606,-35.339469,149.076957,,,MPP1W,1,"7 LYONS PL NEAR LYONS SHOPS, LYONS LYONS","Card Payphone,Incoming Calls,WIFI Hotspot"
02625353X1,0262531771,0461379503,PH:0262531771,JAMISON CENTRE,15,JAMISON,CNTR,MACQUARIE,ACT,2614,-35.25324,149.07075,,,MPP1,1,"15 JAMISON CNTR JAMISON CENTRE, MACQUARIE","Card Payphone,Incoming Calls"
02629000X2,0262867906,0455779536,PH:0262867906,OS POST OFFICE,101,MAWSON,DRV,MAWSON,ACT,2607,-35.364367,149.094216,,,MPP1W,1,"101 MAWSON DRV OS POST OFFICE, MAWSON","Card Payphone,Incoming Calls,WIFI Hotspot"
02625802X2,0262589764,0458589779,PH:0262589764,NR DUMAS ST,0,BENNETTS,CL,MCKELLAR,ACT,2617,-35.217132,149.074461,,,MPP1W,1,"0 BENNETTS CL NR DUMAS ST, MCKELLAR","Card Payphone,Incoming Calls"
02625908X2,0262592098,0417904661,PH:0262592098,MELBA SHOPS,10,MELBA,CCT,MELBA,ACT,2615,-35.20826,149.04889,,,MPP1W,1,"10 MELBA CCT MELBA SHOPS, MELBA","Card Payphone,Incoming Calls,WIFI Hotspot"
02629517X2,0262952509,0482804317,PH:0262952509,NARRABUNDAH S/C,59,BOOLIMBA,CRS,NARRABUNDAH,ACT,2604,-35.332578,149.153316,,,MPP1W,1,"59 BOOLIMBA CRS NARRABUNDAH S/C, NARRABUNDAH","Card Payphone,Incoming Calls,WIFI Hotspot"
02624203X2,0262427521,0499915891,PH:0262427521,BLK 1 SECT 96,4,PAUL COE,CRS,NGUNNAWAL,ACT,2913,-35.174571,149.12014,,,MPP1W,1,"4 PAUL COE CRS BLK 1 SECT 96, NGUNNAWAL","Card Payphone,Incoming Calls"
02625318X2,0262539240,0483213064,PH:0262539240,O/S SUPERMARKET,88,KELLEWAY,AVE,NICHOLLS,ACT,2913,-35.183171,149.098766,,,MPP1W,1,"88 KELLEWAY AVE O/S SUPERMARKET, NICHOLLS","Card Payphone,Incoming Calls"
02625709X2,0262571499,0262571499,PH:0262571499,CNR BLUEBELL ST,8,MACPHERSON,ST,O'CONNOR,ACT,2602,-35.263955,149.121839,,,MPP1,1,"8 MACPHERSON ST CNR BLUEBELL ST, O'CONNOR","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02628400X2,0262843910,0262843910,PH:0262843910,,16,GEORGE,ST,OAKS ESTATE,ACT,2620,-35.340355,149.229465,,,MPP1,1,"16 GEORGE ST , OAKS ESTATE","Card Payphone,Incoming Calls"
02628701X2,0262872579,0262872579,PH:0262872579,NEAR COTTER RD,2,PADDYS RIVER,RD,PADDYS RIVER,ACT,2620,-35.32457,148.940176,,,MPP1,1,"RESRVE  2 PADDYS RIVER RD NEAR COTTER RD, PDDYS RVR PADDYS RIVER","Card Payphone,Incoming Calls"
02624111X2,0262413018,0419424793,PH:0262413018,PALMERSTON SHOPS,2,TIPTREE,CRS,PALMERSTON,ACT,2913,-35.19719,149.11808,,,MPP1W,1,"2 TIPTREE CRS PALMERSTON SHOPS, PALMERSTON","Card Payphone,Incoming Calls"
02629004X2,0262862845,0447181370,PH:0262862845,PEARCE SHOPPING CE,70,HODGSON,CRS,PEARCE,ACT,2607,-35.362741,149.081687,,,MPP1W,1,"70 HODGSON CRS PEARCE SHOPPING CE, PEARCE","Card Payphone,Incoming Calls"
02625734X2,0262573175,0448056545,PH:0262573175,NR ANSLIE AVE,46,ELIMATTA,ST,REID,ACT,2612,-35.2779,149.14065,,,MPP1W,1,"46 ELIMATTA ST NR ANSLIE AVE, REID REID","Card Payphone,Incoming Calls,WIFI Hotspot"
02629109X2,0262910309,0455300782,PH:0262910309,CNR MAY GIBBS CL,0,CLIFT,CRS,RICHARDSON,ACT,2905,-35.427346,149.115432,,,MPP1W,1,"0 CLIFT CRS CNR MAY GIBBS CL, RICHARDSON","Card Payphone,Incoming Calls"
02628804X2,0262882654,0437116445,PH:0262882654,OFF BANGALY CRES,1,RIVETT,PL,RIVETT,ACT,2611,-35.34692,149.03704,,,MPP1W,1,"1 RIVETT PL OFF BANGALY CRES, RIVETT","Card Payphone,Incoming Calls,WIFI Hotspot"
02625507X2,0262548859,0436353930,PH:0262548859,NR ROSS SMITH CRS,15,SCULLIN,PL,SCULLIN,ACT,2614,-35.23359,149.04015,,,MPP1W,1,"15 SCULLIN PL NR ROSS SMITH CRS, SCULLIN","Card Payphone,Incoming Calls,WIFI Hotspot"
02628700X1,0262875628,0262875628,PH:0262875628,CAMP COTTER MOUTH,1437,COTTER,RD,STROMLO,ACT,2611,-35.332,148.958894,,,MPP1,1,"1437 COTTER RD CAMP COTTER MOUTH, STROMLO STROMLO","Card Payphone,Incoming Calls"
02623903X1,0262393186,0262393186,PH:0262393186,CANBERRA STH MOTEL,250,CANBERRA,AVE,SYMONSTON,ACT,2609,-35.33223,149.16461,,,MPP1,1,"250 CANBERRA AVE CANBERRA STH MOTEL, SYMONSTON","Card Payphone,Incoming Calls"
02623914X2,0262396564,0262396564,PH:0262396564,LONG STAY CARAVAN,189,NARRABUNDAH,LA,SYMONSTON,ACT,2609,-35.347607,149.152704,,,MPP1,1,"189 NARRABUNDAH LA LONG STAY CARAVAN, SYMONSTON","Card Payphone,Incoming Calls"
02623700X2,0262375110,0262375110,PH:0262375110,NR GENERAL STORE,11,NORTH,ST,THARWA,ACT,2620,-35.508881,149.067496,,,MPP1,1,"11 NORTH ST NR GENERAL STORE, THARWA","Card Payphone,Incoming Calls"
02625705X2,0262575497,0262575497,PH:0262575497,BLOCK 1 CONDAMINE,177,NORTHBOURNE,AVE,TURNER,ACT,2612,-35.26411,149.13133,,,MPP1,1,"177 NORTHBOURNE AVE BLOCK 1 CONDAMINE, TURNER","Card Payphone,Incoming Calls"
02625790X2,0262577475,0262577475,PH:0262577475,HAVELOCK HOUSE,85,NORTHBOURNE,AVE,TURNER,ACT,2612,-35.27347,149.12945,,,MPP1,1,"85 NORTHBOURNE AVE HAVELOCK HOUSE, TURNER","Card Payphone,Incoming Calls"
02623681X2,0262365110,0262365110,PH:0262365110,URIARRA VILLAGE,5,KELVIN,ST,URIARRA VILLAGE,ACT,2611,-35.2966,148.9256,,,MPP1,1,"LOT 64 5 KELVIN ST URIARRA VILLAGE, URIRA VLGE URIARRA VILLAGE","Card Payphone,Incoming Calls"
02629602X2,0262965824,0436017948,PH:0262965824,ERINDALE S/C,26,DENIGAN,ST,WANNIASSA,ACT,2903,-35.404019,149.098046,,,MPP1W,1,"26 DENIGAN ST ERINDALE S/C, WANNIASSA","Card Payphone,Incoming Calls,WIFI Hotspot"
02628801X2,0262881054,0455074484,PH:0262881054,OS SUPER MKT,1,WARAMANGA,PL,WARAMANGA,ACT,2611,-35.35268,149.05912,,,MPP1W,1,"1 WARAMANGA PL OS SUPER MKT, WARAMANGA","Card Payphone,Incoming Calls,WIFI Hotspot"
02624108X2,0262412454,0436020131,PH:0262412454,O/S SHOPS,1,WATSON,PL,WATSON,ACT,2602,-35.23916,149.15325,,,MPP1W,1,"1 WATSON PL O/S SHOPS, WATSON","Card Payphone,Incoming Calls,WIFI Hotspot"
02628104X2,0262813920,0436310574,PH:0262813920,SHOPPING CENTRE,29,BENTHAM,ST,YARRALUMLA,ACT,2600,-35.307575,149.097294,,,MPP1W,1,"29 BENTHAM ST SHOPPING CENTRE, YARRALUMLA","Card Payphone,Incoming Calls,WIFI Hotspot"
02878600X2,0287861553,0476060839,PH:0287861553,O/S ABBOTSBURY SC,0,ROONY,AVE,ABBOTSBURY,NSW,2176,-33.869348,150.865313,,,MPP1,1,"0 ROONY AVE O/S ABBOTSBURY SC, ABBOTSBURY","Card Payphone,Incoming Calls"
02971203X2,0297122707,0428901382,PH:0297122707,NR WHARF,617,GREAT NORTH,RD,ABBOTSFORD,NSW,2046,-33.843946,151.128214,,,MPP1W,1,"617 GREAT NORTH RD NR WHARF, ABBOTSFORD","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02971207X2,0297125635,0297125635,PH:0297125635,NR ALTONA ST,545,GREAT NORTH,RD,ABBOTSFORD,NSW,2046,-33.84819,151.128149,,,MPP1,1,"545 GREAT NORTH RD NR ALTONA ST, ABBOTSFORD","Card Payphone,Incoming Calls"
02499014X2,0249903164,0455283984,PH:0249903164,,69,ABERDARE,RD,ABERDARE,NSW,2325,-32.8428778,151.3729331,,,MPP1,1,"69 ABERDARE RD , ABERDARE","Card Payphone,Incoming Calls"
02654370X2,0265437304,0265437304,PH:0265437304,,172,MACQUEEN,ST,ABERDEEN,NSW,2336,-32.173179,150.89057,,,MPP1,1,"172 MACQUEEN ST , ABERDEEN","Card Payphone,Incoming Calls"
02654371X2,0265437305,0265437305,PH:0265437305,OS POST OFFICE,21,MORAY,ST,ABERDEEN,NSW,2336,-32.163744,150.890032,,,MPP1,1,"21 MORAY ST OS POST OFFICE, ABERDEEN","Card Payphone,Incoming Calls"
02493040X2,0249304281,0249304281,PH:0249304281,NR FIRE STATION,202,CESSNOCK,RD,ABERMAIN,NSW,2326,-32.8109963,151.4317935,,,MPP1,1,"202 CESSNOCK RD NR FIRE STATION, ABERMAIN","Card Payphone,Incoming Calls"
02645426X2,0264542424,0264542424,PH:0264542424,POST OFFICE,11,DENISON,ST,ADAMINABY,NSW,2629,-35.99664,148.77422,,,MPP1,1,"11 DENISON ST POST OFFICE, ADAMINABY","Card Payphone,Incoming Calls,WIFI Hotspot"
02495211X2,0249521432,0436363242,PH:0249521432,OS MAXIES CAFE,266,BRUNKER,RD,ADAMSTOWN,NSW,2289,-32.9349939,151.7256465,,,MPP1W,1,"266 BRUNKER RD OS MAXIES CAFE, ADAMSTOWN","Card Payphone,Incoming Calls,WIFI Hotspot,ADSL"
02495708X1,0249509175,0484125373,PH:0249509175,ADAMSTOWN RLWY STN,7,PARK,AVE,ADAMSTOWN,NSW,2289,-32.933826,151.720042,,,MPP1W,1,"7 PARK AVE ADAMSTOWN RLWY STN, ADAMSTOWN","Card Payphone,Incoming Calls"
02495710X2,0249527489,0439055678,PH:0249527489,,89,FLETCHER,ST,ADAMSTOWN,NSW,2289,-32.938717,151.716687,,,MPP1W,1,"89 FLETCHER ST , ADAMSTOWN","Card Payphone,Incoming Calls"
02495722X2,0249578451,0407135865,PH:0249578451,NR POST OFFICE,195,BRUNKER,RD,ADAMSTOWN,NSW,2289,-32.9332967,151.7263479,,,MPP1W,1,"195 BRUNKER RD NR POST OFFICE, ADAMSTOWN","Card Payphone,Incoming Calls"
02694621X2,0269462208,0269462208,PH:0269462208,O/S POST OFFICE,80,TUMUT,ST,ADELONG,NSW,2729,-35.308048,148.064273,,,MPP1,1,"80 TUMUT ST O/S POST OFFICE, ADELONG","Card Payphone,Incoming Calls"
02694661X2,0269466271,0269466271,PH:0269466271,RECREATION RESERVE,52,REDHILL,RD,ADJUNGBILLY,NSW,2727,-35.086945,148.398349,,,MPP1,1,"52 REDHILL RD RECREATION RESERVE, ADJUNGBILLY","Card Payphone,Incoming Calls"
02457819X2,0245781109,0455908374,PH:0245781109,NR CASTLEREAGH RD,12,WARNOCK,RD,AGNES BANKS,NSW,2753,-33.61297,150.713115,,,MPP1W,1,"12 WARNOCK RD NR CASTLEREAGH RD, AGNES BANKS","Card Payphone,Incoming Calls,WIFI Hotspot"
